City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Houston,US,2022-02-01 13:26:46,29.7633,-95.3633,61.2,89,100,3.0
68,Cayenne,GF,2022-02-01 13:27:34,4.9333,-52.3333,79.09,90,75,3.44
69,Roald,NO,2022-02-01 13:27:34,62.5833,6.1333,34.09,100,100,11.5
70,Lorengau,PG,2022-02-01 13:20:43,-2.0226,147.2712,78.6,87,100,16.35
71,Daru,PG,2022-02-01 13:27:35,-9.0763,143.2092,76.19,88,100,6.62
72,Avarua,CK,2022-02-01 13:26:49,-21.2078,-159.775,78.85,89,75,11.5
73,Manggar,ID,2022-02-01 13:27:35,-2.8833,108.2667,80.2,77,98,7.18
74,Dikson,RU,2022-02-01 13:27:35,73.5069,80.5464,1.13,91,100,19.24
75,Otane,NZ,2022-02-01 13:27:36,-39.8833,176.6333,67.01,86,24,2.26
76,Rio Gallegos,AR,2022-02-01 13:27:36,-51.6226,-69.2181,53.65,40,40,43.73
77,Mezen,RU,2022-02-01 13:27:36,65.8522,44.24,2.95,97,100,5.66
78,San Cristobal,VE,2022-02-01 13:27:36,7.7669,-72.225,66.38,75,73,1.83
79,Suoyarvi,RU,2022-02-01 13:27:37,62.0833,32.35,16.79,95,100,5.97
80,Porto Novo,BJ,2022-02-01 13:15:55,6.4965,2.6036,93.02,24,81,7.87
81,Ponta Do Sol,PT,2022-02-01 13:18:04,32.6667,-17.1,76.12,29,0,15.14
82,Saint George,US,2022-02-01 13:23:56,37.1041,-113.5841,41.25,41,0,1.99
83,Cape Town,ZA,2022-02-01 13:25:51,-33.9258,18.4232,87.12,49,20,8.05
84,Chapais,CA,2022-02-01 13:27:37,49.7834,-74.8492,-4.22,93,100,10.38
85,Yumen,CN,2022-02-01 13:27:38,40.2833,97.2,21.52,25,63,2.21
86,Sarangpur,IN,2022-02-01 13:27:38,23.5667,76.4667,71.55,39,0,6.26
87,Thompson,CA,2022-02-01 13:26:33,55.7435,-97.8558,-14.64,70,75,10.36
88,Copiapo,CL,2022-02-01 13:27:38,-27.3667,-70.3333,62.29,73,35,2.39
89,Dakar,SN,2022-02-01 13:28:39,14.6937,-17.4441,95.88,57,66,11.5
90,Kholodnyy,RU,2022-02-01 13:28:39,62.7167,147.95,-5.93,98,100,3.69
91,Barrow,US,2022-02-01 13:28:39,71.2906,-156.7887,-14.78,76,100,3.44
92,Massakory,TD,2022-02-01 13:28:40,12.996,15.7293,79.41,10,0,5.68
93,Ouallam,NE,2022-02-01 13:28:40,14.3188,2.0866,83.35,5,0,14.03
94,Yellowknife,CA,2022-02-01 13:23:54,62.456,-114.3525,-23.58,75,20,12.66
95,Nome,US,2022-02-01 13:21:46,64.5011,-165.4064,21.27,49,0,23.02
96,Cabo San Lucas,MX,2022-02-01 13:24:17,22.8909,-109.9124,65.52,72,0,10.36
97,Bradford,GB,2022-02-01 13:28:40,53.7939,-1.7521,53.83,75,40,32.21
