City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kahului,US,20.8947,-156.47,75.85,77,20,5.75,few clouds
79,Kristinehamn,SE,59.3098,14.1081,37.38,82,47,16.04,scattered clouds
80,Tomatlan,MX,19.9333,-105.25,78.01,42,31,1.79,scattered clouds
81,Kavieng,PG,-2.5744,150.7967,81.1,78,90,6.02,overcast clouds
82,Ushuaia,AR,-54.8,-68.3,60.46,41,40,8.05,scattered clouds
83,Luang Prabang,LA,19.8856,102.1347,66.02,98,100,2.06,overcast clouds
84,Codrington,AU,-38.2667,141.9667,57.54,85,97,8.97,overcast clouds
85,Avera,US,33.194,-82.5271,46.9,51,30,9.15,scattered clouds
86,Taltal,CL,-25.4,-70.4833,70.72,69,7,4.85,clear sky
87,Marsh Harbour,BS,26.5412,-77.0636,73.78,59,0,1.36,clear sky
88,San Patricio,US,28.017,-97.5169,42.17,44,2,7.47,clear sky
89,Haines Junction,CA,60.7522,-137.5108,1.35,85,100,4.61,overcast clouds
90,Avarua,CK,-21.2078,-159.775,77.05,88,40,5.75,scattered clouds
91,Acari,PE,-15.4311,-74.6158,81.41,51,30,9.82,scattered clouds
92,Albany,US,42.6001,-73.9662,19.45,69,32,14.0,scattered clouds
93,Busselton,AU,-33.65,115.3333,69.04,73,0,3.18,clear sky
94,Port Hardy,CA,50.6996,-127.4199,40.75,93,75,6.91,broken clouds
95,Tilichiki,RU,60.4667,166.1,4.91,80,100,7.61,overcast clouds
96,Punta Arenas,CL,-53.15,-70.9167,66.31,52,75,35.68,broken clouds
97,Bonthe,SL,7.5264,-12.505,84.81,61,89,13.76,overcast clouds
98,Provideniya,RU,64.3833,-173.3,-5.75,86,3,11.77,clear sky
99,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,16.11,light rain
100,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,91.81,34,15,8.81,few clouds
101,Chara,RU,56.9064,118.2631,-17.01,80,74,1.66,broken clouds
102,Goderich,CA,43.7501,-81.7165,15.91,61,99,9.22,overcast clouds
103,Ancud,CL,-41.8697,-73.8203,71.22,58,3,6.93,clear sky
104,Penzance,GB,50.1186,-5.5371,52.81,81,99,29.71,overcast clouds
105,Saint Anthony,US,45.0205,-93.218,10.81,66,100,7.0,overcast clouds
106,Airai,TL,-8.9266,125.4092,60.57,92,82,2.06,broken clouds
107,Agaro,ET,7.85,36.65,66.81,62,86,3.51,light rain
108,Porto-Vecchio,FR,41.591,9.2795,56.86,67,75,10.36,broken clouds
109,Camana,PE,-16.6228,-72.7111,75.09,69,80,10.49,broken clouds
110,Margate,GB,51.3813,1.3862,49.69,70,86,8.99,overcast clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,19.57,clear sky
112,Sindor,RU,62.8629,51.8905,-4.05,100,66,3.74,broken clouds
113,Guymon,US,36.6828,-101.4816,30.47,59,0,19.57,clear sky
114,Turukhansk,RU,65.8167,87.9833,-3.87,97,96,5.77,overcast clouds
115,Tessalit,ML,20.1986,1.0114,76.62,8,0,8.41,clear sky
116,Nelson,NZ,-41.2833,173.2833,57.29,88,100,1.99,overcast clouds
117,Sokolka,PL,53.4072,23.5023,35.65,89,97,14.47,overcast clouds
118,Teguise,ES,29.0605,-13.564,66.42,49,0,11.5,clear sky
119,Bela,IN,25.9333,81.9833,52.36,67,0,5.79,clear sky
120,Ixtapa,MX,20.7,-105.2,70.83,73,100,3.44,overcast clouds
121,Huarmey,PE,-10.0681,-78.1522,76.24,71,18,10.92,few clouds
122,Touros,BR,-5.1989,-35.4608,88.7,51,25,13.78,scattered clouds
123,Floro,NO,61.5996,5.0328,36.97,87,75,19.57,snow
124,Isangel,VU,-19.55,169.2667,79.43,90,100,13.53,moderate rain
125,Bethel,US,41.3712,-73.414,26.04,77,75,6.91,broken clouds
126,Sakaraha,MG,-22.9,44.5333,77.14,65,100,9.33,overcast clouds
127,Barrow,US,71.2906,-156.7887,-11.18,70,100,14.97,light snow
128,Muroto,JP,33.2833,134.15,39.22,55,29,12.71,scattered clouds
129,Torata,PE,-17.0769,-70.8433,67.87,43,5,10.74,clear sky
130,Wanning,CN,18.8003,110.3967,66.13,85,99,11.25,overcast clouds
131,Honiara,SB,-9.4333,159.95,79.47,88,94,2.51,overcast clouds
132,Norman Wells,CA,65.282,-126.8329,-11.65,94,95,5.99,overcast clouds
133,Boyolangu,ID,-8.1181,111.8935,75.58,86,84,1.95,broken clouds
134,Kijang,KR,35.2442,129.2139,28.13,54,83,16.71,broken clouds
135,Klaksvik,FO,62.2266,-6.589,38.32,92,97,43.96,overcast clouds
136,Hithadhoo,MV,-0.6,73.0833,82.67,75,100,12.01,overcast clouds
137,Chuy,UY,-33.6971,-53.4616,83.12,50,83,8.52,broken clouds
138,Cherskiy,RU,68.75,161.3,-32.82,96,15,1.39,few clouds
139,Khani,GE,41.9563,42.9566,26.17,87,91,5.5,overcast clouds
140,Vila Velha,BR,-20.3297,-40.2925,80.94,77,75,11.01,mist
141,Nipawin,CA,53.3668,-104.0009,-7.56,77,100,10.36,overcast clouds
142,Acapulco,MX,16.8634,-99.8901,80.42,65,20,0.0,few clouds
143,Berdigestyakh,RU,62.0989,126.6992,-21.35,100,99,0.49,overcast clouds
144,Ribeira Grande,PT,38.5167,-28.7,63.0,72,75,12.66,broken clouds
145,Northam,GB,51.0333,-4.2167,51.42,87,100,27.47,overcast clouds
146,Cururupu,BR,-1.8283,-44.8683,83.8,65,99,4.56,overcast clouds
147,Duekoue,CI,6.7472,-7.3496,97.7,20,6,2.93,clear sky
148,Dunedin,NZ,-45.8742,170.5036,50.81,78,44,5.79,scattered clouds
149,Aberdeen,GB,57.1437,-2.0981,41.54,79,75,24.16,light rain
150,Sorland,NO,67.667,12.6934,39.18,79,90,24.74,overcast clouds
151,Tobias Barreto,BR,-11.1839,-37.9983,92.77,31,98,11.21,overcast clouds
152,Mahibadhoo,MV,3.7833,72.9667,81.88,71,31,12.35,scattered clouds
153,Rongcheng,CN,30.634,117.8517,34.86,67,59,5.75,broken clouds
154,Cockburn Town,TC,21.4612,-71.1419,76.37,68,10,18.34,clear sky
155,Gushikawa,JP,26.3544,127.8686,56.79,58,100,12.66,overcast clouds
156,Carlagan,PH,14.975,122.0456,76.51,79,78,18.39,broken clouds
157,Dong Hoi,VN,17.4833,106.6,61.79,87,100,9.89,overcast clouds
158,Saskylakh,RU,71.9167,114.0833,-29.67,100,85,4.41,overcast clouds
159,Asfi,MA,32.2994,-9.2372,67.48,60,96,21.14,overcast clouds
160,Sultanpur,IN,26.2667,82.0667,52.27,70,0,4.92,clear sky
161,Saint-Denis,FR,48.9167,2.3333,49.1,68,20,4.0,few clouds
162,Novoorsk,RU,51.381,58.9813,16.45,93,100,8.72,overcast clouds
163,Saint-Louis,SN,16.3333,-15.0,96.4,5,0,9.64,clear sky
164,Plettenberg Bay,ZA,-34.0527,23.3716,71.76,77,2,21.12,clear sky
165,Obo,CF,5.3998,26.4869,80.85,19,100,5.32,overcast clouds
166,Lunsar,SL,8.6833,-12.5333,98.02,18,10,2.93,clear sky
167,Saiha,IN,22.4833,92.9667,52.5,99,54,0.51,broken clouds
168,Batagay-Alyta,RU,67.8006,130.4114,-25.65,99,62,3.71,broken clouds
169,Naze,JP,28.3667,129.4833,50.56,66,78,17.45,broken clouds
170,Iguape,BR,-24.7081,-47.5553,90.72,55,94,6.87,overcast clouds
171,Husavik,IS,66.0449,-17.3389,12.11,96,99,15.1,snow
172,Tevaitoa,PF,-16.7833,-151.5,80.6,71,13,18.01,few clouds
173,Araua,BR,-11.2622,-37.6197,84.85,31,98,11.54,overcast clouds
174,Hualmay,PE,-11.0964,-77.6139,75.15,71,29,10.09,scattered clouds
175,Manta,EC,-0.95,-80.7333,82.18,78,75,5.75,broken clouds
176,Mogadishu,SO,2.0371,45.3438,77.68,81,55,16.69,broken clouds
177,Oron,NG,4.8256,8.2343,85.3,53,4,9.55,clear sky
178,Mount Gambier,AU,-37.8333,140.7667,58.91,82,89,8.05,overcast clouds
179,College,US,64.8569,-147.8028,-0.02,80,40,6.91,scattered clouds
180,Saint-Philippe,RE,-21.3585,55.7679,81.99,85,100,20.85,light rain
181,Am Timan,TD,11.0297,20.2827,83.37,14,20,5.32,few clouds
182,Basco,PH,20.4487,121.9702,72.1,75,99,28.34,overcast clouds
183,Aklavik,CA,68.2191,-135.0107,-31.97,66,20,4.61,few clouds
184,Concepcion Del Uruguay,AR,-32.4825,-58.2372,79.99,58,0,8.01,clear sky
185,Cidreira,BR,-30.1811,-50.2056,86.92,58,91,9.22,heavy intensity rain
186,Olenino,RU,56.2092,33.4889,18.55,95,100,10.51,snow
187,Mangan,IN,27.5167,88.5333,39.65,79,51,9.26,broken clouds
188,Sibolga,ID,1.7427,98.7792,75.7,90,99,2.91,overcast clouds
189,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.7,76,100,1.77,overcast clouds
190,The Valley,AI,18.217,-63.0578,82.26,69,75,17.27,broken clouds
191,Auki,SB,-8.7676,160.7034,79.23,87,64,6.4,broken clouds
192,Camalu,MX,30.85,-116.0667,59.68,21,0,2.19,clear sky
193,Urumqi,CN,43.801,87.6005,0.55,85,100,2.24,mist
194,Krasnoselkup,RU,65.7,82.4667,-6.72,100,73,8.05,broken clouds
195,Dabwali,IN,29.95,74.7333,50.88,76,8,7.14,clear sky
196,Vytegra,RU,61.0064,36.4481,14.2,89,99,13.65,overcast clouds
