City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Garowe,SO,74.35,scattered clouds,8.4054,48.4845,Curubo Hotel
360,Ballina,AU,71.56,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
362,Meulaboh,ID,75.97,light rain,4.1363,96.1285,Kost Pria
363,Puerto Carreno,CO,89.58,clear sky,6.189,-67.4859,Casa Hotel Victoria
364,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Piesta
367,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
368,Gizo,SB,82.47,light rain,-8.103,156.8419,Imagination Island
369,Charqueada,BR,75.69,light rain,-22.5097,-47.7781,Hotel Serra do Itaqueri
373,Djenne,ML,89.8,clear sky,13.9061,-4.5533,Hôtel Chez Baba
374,Dzilam Gonzalez,MX,74.59,broken clouds,21.2833,-88.9333,posadas
375,Dhidhdhoo,MV,80.64,broken clouds,6.8833,73.1,Dhidhoo beach
379,Rio Grande,BR,80.71,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
386,Bandarbeyla,SO,75.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
387,Udon Thani,TH,71.85,overcast clouds,17.3333,102.8333,P.T.K. Apartment
393,Ciudad Guayana,VE,86.52,broken clouds,8.3533,-62.6528,Hotel Las Americas
397,Maragogi,BR,84.27,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
398,Constitucion,CL,72.37,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
410,Tonantins,BR,74.05,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
412,Bauta,CU,80.49,few clouds,22.9828,-82.5464,El Refugio
413,San Andres,CO,77.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
416,Bajil,YE,78.26,scattered clouds,15.0584,43.2851,فندق حضرموت
418,Mutis,CO,81.18,light rain,6.2262,-77.4044,Paraiso Escondido
419,Nagothana,IN,75.22,scattered clouds,18.5333,73.1333,Kamath Residency Nature Resort And Restaurant.
421,South Venice,US,72.16,overcast clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
423,Santa Fe,AR,80.02,clear sky,-31.6333,-60.7,Conquistador Hotel
424,Ngunguru,NZ,72.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
428,Iracoubo,GF,79.92,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
434,Ambilobe,MG,74.46,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
437,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
440,Saldanha,ZA,89.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
441,Lorengau,PG,80.35,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
444,Victor Harbor,AU,73.72,overcast clouds,-35.5667,138.6167,McCracken Country Club
446,Dharapuram,IN,80.44,overcast clouds,10.7333,77.5167,Sakthi Lodge
448,Aquiraz,BR,86.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
450,Banda Aceh,ID,79.41,light rain,5.5577,95.3222,Sulthan Hotel International
453,Alappuzha,IN,78.64,broken clouds,9.49,76.3264,Panoramic Sea Resort
455,Luanda,AO,84.2,few clouds,-8.8368,13.2343,Hotel Fórum
458,Adeje,ES,72.1,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
462,Rocha,UY,73.31,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
463,Kathu,TH,82.22,broken clouds,7.9178,98.3332,Novotel Phuket Resort
465,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
467,Samarai,PG,80.29,overcast clouds,-10.6167,150.6667,Nuli Sapi
469,Daru,PG,77.74,light rain,-9.0763,143.2092,Daru Lodge
473,Boca Do Acre,BR,80.58,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
480,Haapiti,PF,74.93,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
484,Zvishavane,ZW,70.52,broken clouds,-20.3267,30.0665,Hotel Boutique Runde
485,Kirakira,SB,80.96,overcast clouds,-10.4544,161.9205,SanBiz Lodge
487,Pizarro,CO,79.36,light rain,4.9533,-77.366,Hotel Limonar
489,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
505,Garchitorena,PH,75.6,overcast clouds,13.8804,123.6946,Site
508,Roebourne,AU,84.52,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
510,Nargana,PA,81.19,broken clouds,9.4428,-78.5906,Dubbir
512,Gulu,UG,78.84,overcast clouds,2.7746,32.299,ACHOLI INN
513,Buala,SB,80.78,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
514,Puerto Escondido,MX,83.71,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
520,Namatanai,PG,79.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
521,Pietersburg,ZA,74.25,few clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
523,Morant Bay,JM,83.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
528,Tacuarembo,UY,89.37,scattered clouds,-31.7333,-55.9833,Complejo San Fructuoso
529,Marawi,PH,70.65,scattered clouds,7.9986,124.2928,Derogongan Residence
531,Nizwa,OM,72.48,clear sky,22.9333,57.5333,Orient Apartments
533,Ailigandi,PA,81.93,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
536,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
548,Dingle,PH,74.86,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
559,Puerto Colombia,CO,87.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
565,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
568,Axim,GH,83.14,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
571,Atambua,ID,74.41,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
572,Port Augusta,AU,76.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
575,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
584,Xai-Xai,MZ,76.32,light rain,-25.0519,33.6442,Complexo da Familia
591,Palpa,PE,87.22,overcast clouds,-14.5336,-75.1856,Palpa Lines
593,Lima,PE,70.14,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
595,Caravelas,BR,83.07,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
596,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
601,Salto,UY,88.65,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
602,Moerai,PF,79.66,broken clouds,-22.4333,-151.3333,Le Manotel
603,Ocos,GT,89.73,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
607,Kapoeta,SS,86.67,overcast clouds,4.7717,33.5903,Eastgate Hotel
615,Faanui,PF,80.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
616,Guerrero,MX,77.07,clear sky,17.6667,-100.0,Villaxochilt
618,Gombe,NG,81.93,clear sky,10.2897,11.1673,Shinani Lodge
621,Abu Dhabi,AE,71.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
629,Pimenta Bueno,BR,83.86,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
636,Noumea,NC,76.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
638,Monrovia,LR,89.37,few clouds,6.3005,-10.7969,Sunset Inn
644,Bahia De Caraquez,EC,82.58,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
650,Sibu,MY,77.31,light rain,2.3,111.8167,RH HOTEL (4 Star)
651,Pringsewu,ID,73.2,overcast clouds,-5.3582,104.9744,Urban Style by Front One
655,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
658,Santa Luzia,BR,84.34,heavy intensity rain,-19.7697,-43.8514,Pousada Chao Earth
660,Sao Gabriel Da Cachoeira,BR,78.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
663,Aden,YE,78.69,clear sky,12.7794,45.0367,Sama Emirate Hotel
664,Edeia,BR,88.2,broken clouds,-17.3383,-49.9314,Hotel Imperial Edeia
665,Santa Cruz Cabralia,BR,80.83,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
672,Tecoanapa,MX,81.91,clear sky,16.5167,-98.75,Hotel Manglares
673,Lazaro Cardenas,MX,81.45,clear sky,17.9583,-102.2,quinta antigua
675,Bentiu,SS,80.06,overcast clouds,9.2333,29.8333,Mandela hôtel
678,Itupiranga,BR,84.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
680,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
681,San Carlos De Bariloche,AR,70.25,few clouds,-41.1456,-71.3082,Hotel Patagonia
682,Phan Thiet,VN,73.4,overcast clouds,10.9333,108.1,Hotel Saigon-PT
684,Abadiania,BR,72.52,broken clouds,-16.2042,-48.7069,Pousada Lírio D'Água
685,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
693,Vaitape,PF,80.78,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
697,Thap Than,TH,82.09,broken clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
699,Sao Geraldo Do Araguaia,BR,83.3,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
703,Isla Mujeres,MX,78.17,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
